Team,Level,Region,Type,Name,Rule,Item,LinkID,X,Y,Z,Notes,Notes 2
Dark,Seaside Hill,Big Ruin Beach Ruin With Dash Ramp,ItemBalloon,Left Power Level Up Balloon in Rock,ItemBalloonAND(BreakThingsOR(CannonANDJumpANDPowerChar)),LevelUpPower,0,1160.001,569,-17139.8,left rock,
Dark,Seaside Hill,Big Ruin Beach Ruin With Dash Ramp,ItemBalloon,Right Power Level Up Balloon in Rock,ItemBalloonAND(BreakThingsOR(CannonANDJumpANDPowerChar)),LevelUpPower,0,1260.001,569,-17139.8,right rock,
Dark,Seaside Hill,Big Ruin Beach Island 1 High Item Balloon,ItemBalloon,Extra Life Balloon,ItemBalloon,ExtraLife,0,1210.085,585.1104,-18040.01,,
Dark,Seaside Hill,Big Ruin Beach Island 1 Mid Item Balloon,ItemBalloon,Speed Level Up Balloon,ItemBalloon,LevelUpSpeed,0,1210.085,385.1104,-18040.01,,
Dark,Seaside Hill,Big Ruin Beach End Path Item Balloon,ItemBalloon,10 Rings Balloon,ItemBalloon,Rings10,0,1151.265,575.2516,-20020.56,,
Dark,Seaside Hill,Path After Big Special Ruin Before Volcano Loop,ItemBox,Left 5 Rings Box,ItemBox,Rings5,0,756.006,400.8734,-26670.38,left,
Dark,Seaside Hill,Path After Big Special Ruin Before Volcano Loop,ItemBox,Center 5 Rings Box,ItemBox,Rings5,0,804.0079,463.8734,-26670.47,center,
Dark,Seaside Hill,Path After Big Special Ruin Before Volcano Loop,ItemBox,Right 5 Rings Box,ItemBox,Rings5,0,856.6043,541.8734,-26661.36,right,
Dark,Seaside Hill,Second Bobsled,ItemBalloon,First 5 Rings Balloon,ItemBalloon,Rings5,0,-993.6437,822.1299,-37714.48,,
Dark,Seaside Hill,Second Bobsled,ItemBalloon,Second 10 Rings Balloon,ItemBalloon,Rings10,0,-882.0215,747.1299,-38624.08,,
Dark,Seaside Hill,Second Bobsled,ItemBalloon,Third 5 Rings Balloon,ItemBalloon,Rings5,0,-134.5972,676.99,-38590.56,,
Dark,Seaside Hill,Second Bobsled,ItemBalloon,Fourth 5 Rings Balloon,ItemBalloon,Rings5,0,2409.016,468.1299,-38679.7,,
Dark,Seaside Hill,Second Bobsled,ItemBalloon,Fifth Speed Up Balloon to Left,ItemBalloon,SpeedShoes,0,1757.533,347.9998,-40825.48,left,
Dark,Seaside Hill,Second Bobsled,ItemBalloon,Sixth 5 Rings Balloon to Right,ItemBalloon,Rings5,0,1757.533,347.9998,-40875.48,right,
Dark,Seaside Hill,Loop After Second Bobsled,ItemBox,Left 5 Rings Box,ItemBox,Rings5,0,-540.6484,442.7799,-40279.72,left loop,
