Team,Level,Name,ObjChecks,Rings,Rings Cont.,Enemies,Enemies Cont.,Items,Items Cont.,Other Stuff,Notes
Dark,Seaside Hill,Ruin Stairs After Second Island,1,0,,1,red flapper,0,,,
Dark,Seaside Hill,Before First Bobsled,1,0,,1,red flapper,0,,,red flapper on ground
Dark,Seaside Hill,First Bobsled,0,0,,0,,0,,,
Dark,Seaside Hill,First Bobsled After Block,7,29,5 6x4,7,7xnothing,2,2x5Rings Balloons,,things need nothing
Dark,Seaside Hill,First Bobsled Small Island,0,0,,0,,0,,,
Dark,Seaside Hill,Ruin After First Bobsled,0,0,,0,,0,,,
Dark,Seaside Hill,Big Ruin After First Bobsled,2,6,1x6,2,2xGreenShot,0,,,
Dark,Seaside Hill,First Cliff Before Big Ruin Beach,0,4,1x4,0,,0,,,Rings need (SingleSpringAND(FlyAnyORJumpORComboHeight))OR(FlyAnyANDJump)
Dark,Seaside Hill,Checkpoint 2,0,0,,0,,0,,,
Dark,Seaside Hill,Second Cliff Before Big Ruin Beach,4,4,1x4,4,2xlance redflapper GreenShot,1,10 Rings box,,box needs BreakThings flappers need (FlyAnyANDThunderShoot0)OR(JumpANDTornado0HoverANDRuinsNoTrigger)OR(BreakThingsANDSingleSpringAND(ComboHeightORFlyAnyORJumpORThundershoot0)ANDRuinsNoTrigger)
Dark,Seaside Hill,Lower Cliff Before Big Ruin Beach,0,0,,0,,1,invinc box,SingleSpring,box needs BreakThings
Dark,Seaside Hill,Path Before Big Ruin Beach,8,8,1x3 1x5,8,6xlance 2xGreenShot,0,,,
Dark,Seaside Hill,Path Before Big Ruin Beach Cannon Speed,0,0,,0,,0,,,
Dark,Seaside Hill,Path Before Big Ruin Beach Cannon Power,0,0,,0,,0,,,
Dark,Seaside Hill,Path Before Big Ruin Beach Cannon Flying,0,0,,0,,0,,,
Dark,Seaside Hill,Big Ruin Beach Lower Cliffs At Start,0,0,,0,,0,,,
Dark,Seaside Hill,Big Ruin Beach Ruin With Dash Ramp,0,0,,0,,2,2xPower Lvl Balloon,,balloons need BreakThingsOR(CannonANDJumpANDPowerChar)
Dark,Seaside Hill,Big Ruin Beach Island 1,1,0,,1,lance,0,,,
Dark,Seaside Hill,Bonus Key 2,0,0,,0,,0,,,
Dark,Seaside Hill,Big Ruin Beach Island 1 High Item Balloon,0,0,,0,,1,Extra Life Balloon,,
Dark,Seaside Hill,Big Ruin Beach Island 1 Mid Item Balloon,0,0,,0,,1,Speed Lvl Balloon,,
Dark,Seaside Hill,Ruin Between Big Ruin Beach Islands,0,0,,0,,0,,HintRing,
Dark,Seaside Hill,Big Ruin Beach Middle Path Top Corner,0,0,,0,,0,,,
Dark,Seaside Hill,Big Ruin Beach Middle Path Before Blocks,0,0,,0,,0,,,
Dark,Seaside Hill,Big Ruin Beach Middle Path After Blocks,0,0,,0,,0,,,
Dark,Seaside Hill,Big Ruin Beach Top Path 1,1,0,,1,bazooka ,0,,,
Dark,Seaside Hill,Big Ruin Beach Top Path 2,8,0,,8,7xlance redflapper,0,,,flapper can be hit with auto attack
Dark,Seaside Hill,Big Ruin Beach Island 2,5,15,1x5 1x10,5,2xlanceCshield 2xbazooka nothing,0,,HintRing,nothing and Hint on platform
Dark,Seaside Hill,Big Ruin Beach Ruin Staircase,0,0,,0,,0,,,
Dark,Seaside Hill,Big Ruin Beach End Path,3,4,1x4,3,redflapper 2xGreenShot,0,,,GreenShots higher (can homing off of flapper)
Dark,Seaside Hill,Big Ruin Beach End Path Item Balloon,0,0,,0,,1,10Rings Balloon,,
Dark,Seaside Hill,Path Before Volcano Start,0,6,1x6,0,,0,,,
Dark,Seaside Hill,Checkpoint 3,0,0,,0,,0,,,
Dark,Seaside Hill,Big Special Ruin Before Volcano,3,0,,3,2xflapper GreenShot,0,,,
Dark,Seaside Hill,Ruin After Big Special Ruin Before Volcano,3,0,,3,2xflapper GreenShot,0,,,
Dark,Seaside Hill,Path After Big Special Ruin Before Volcano Start,2,0,,2,2xflapper,0,,,
Dark,Seaside Hill,Path After Big Special Ruin Before Volcano Loop,3,8,2x4,3,3xlance,3,3x5Rings Box,,
Dark,Seaside Hill,Cave Before Volcano Entrance,2,0,,2,2xlance,0,,,
Dark,Seaside Hill,Cave Before Volcano After First Block,2,0,,2,2xlance,0,,,
Dark,Seaside Hill,Cave Before Volcano After Second Block,1,0,,1,lance,0,,,
Dark,Seaside Hill,Volcano Cannon Room,6,0,,6,6xlance,0,,,
Dark,Seaside Hill,Volcano Cannon Room Alcove,0,0,,0,,0,,,
Dark,Seaside Hill,Bonus Key 3,0,0,,0,,0,,,
Dark,Seaside Hill,Volcano Cannon Room Cannon Speed,0,0,,0,,0,,,
Dark,Seaside Hill,Volcano Cannon Room Cannon Power,0,0,,0,,0,,,
Dark,Seaside Hill,Volcano Cannon Room Cannon Flying,0,0,,0,,0,,,
Dark,Seaside Hill,Volcano Top Room,0,0,,0,,0,,,
Dark,Seaside Hill,Second Bobsled Start,0,0,,0,,0,,,
Dark,Seaside Hill,Checkpoint 4,0,0,,0,,0,,,
Dark,Seaside Hill,Second Bobsled,6,22,1x4 2x5 1x8,6,6xnothing,6,4x5Ring 10Ring Speed Shoes (Balloons),,
Dark,Seaside Hill,Loop After Second Bobsled,0,15,1x15,0,,1,5Rings Box,,
Dark,Seaside Hill,Path Before Big Loop,1,0,,1,nothing,0,,,
Dark,Seaside Hill,Big Loop,5,45,1x11 1x12 22x1,5,5xlance,0,,,
Dark,Seaside Hill,Whale Blowhole,0,0,,0,,0,,,
Dark,Seaside Hill,Whale Island Top,6,0,,6,3xflapper 2xGreenShot lance,0,,,
Dark,Seaside Hill,Goal,100,0,,0,,0,,,
