Team,Level,Region,Name,Type,SpecialType,Weapon,Armor,Shield,Height,RhinoAttack,RhinoPath,LinkID,Rule,X,Y,Z,Notes,Notes 2
Dark,Seaside Hill,Third Ruin Between First and Second Island,Red Flapper Right,Egg Flapper,,No Weapon,No Armor,,Ground,,,0,KillRedFlapperGround,-4513.362,130.99,-11706.12,right,
Dark,Seaside Hill,Second Island,Egg Pawn Bazooka,Egg Pawn,Regular Pawn,Bazooka,,No Shield,Ground,,,0,KillEggPawnBazooka,-4638.64,2.589,-12470.5,,
Dark,Seaside Hill,Second Island,Egg Pawn Lance,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,-4353.55,5.8472,-12444.79,,
Dark,Seaside Hill,Ruin After Second Island,Green Flapper Bazooka,Egg Flapper,,Bazooka,No Armor,,Jump,,,0,KillGreenFlapperBazookaJump,-4508.843,90.0731,-13015.63,over void,
Dark,Seaside Hill,Ruin Stairs After Second Island,Red Flapper,Egg Flapper,,No Weapon,No Armor,,Jump,,,0,KillRedFlapperJump,-4508.843,160.0731,-13175.63,,
Dark,Seaside Hill,Before First Bobsled,Red Flapper,Egg Flapper,,No Weapon,No Armor,,Ground,,,0,KillRedFlapperGround,-4508.843,220.0731,-13295.63,,
Dark,Seaside Hill,First Bobsled After Block,Egg Pawn First Group Left,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingSHFirstBobsled,-4201.66,9,-15935.95,left,
Dark,Seaside Hill,First Bobsled After Block,Egg Pawn First Group Right,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingSHFirstBobsled,-4190.66,9.0115,-15935.95,right,
Dark,Seaside Hill,First Bobsled After Block,Egg Pawn Second Group Front,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingSHFirstBobsled,-4171.267,97.491,-16698.38,second group front,
Dark,Seaside Hill,First Bobsled After Block,Egg Pawn Second Group Back,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingSHFirstBobsled,-4142.161,101.1138,-16745.32,second group back,
Dark,Seaside Hill,First Bobsled After Block,Egg Pawn Third Group Front,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingSHFirstBobsled,-2473.575,30,-16177.73,third group front,
Dark,Seaside Hill,First Bobsled After Block,Egg Pawn Third Group Middle,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingSHFirstBobsled,-2273.575,30,-16137.73,third group middle,
Dark,Seaside Hill,First Bobsled After Block,Egg Pawn Third Group Back,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingSHFirstBobsled,-2053.575,30,-16149.73,third group back,
Dark,Seaside Hill,Big Ruin After First Bobsled,Green Flapper Bazooka Left,Egg Flapper,,Bazooka,No Armor,,Jump,,,0,KillGreenFlapperBazookaJump,-800.8923,175.614,-16190.05,left,
Dark,Seaside Hill,Big Ruin After First Bobsled,Green Flapper Bazooka Right,Egg Flapper,,Bazooka,No Armor,,Jump,,,0,KillGreenFlapperBazookaJump,-800.8923,175.614,-16110.05,right,
Dark,Seaside Hill,Second Cliff Before Big Ruin Beach,Egg Pawn Lance Left,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,437.5364,385,-16203.21,,
Dark,Seaside Hill,Second Cliff Before Big Ruin Beach,Egg Pawn Lance Right,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,460.0002,385,-16158.21,,
Dark,Seaside Hill,Second Cliff Before Big Ruin Beach,Red Flapper,Egg Flapper,,No Weapon,No Armor,,HalfJump,,,0,KillRedFlapperHalfJumpAND((FlyAnyANDThundershoot0)OR(JumpANDTornado0HoverANDRuinsNoTrigger)OR(BreakThingsANDSingleSpringAND(ComboHeightORFlyAnyORJumpORThundershoot0)ANDRuinsNoTrigger)),532.7141,509.5,-16140.88,,
Dark,Seaside Hill,Second Cliff Before Big Ruin Beach,Green Flapper Bazooka,Egg Flapper,,Bazooka,No Armor,,Jump,,,0,KillGreenFlapperBazookaJumpAND((FlyAnyANDThundershoot0)OR(JumpANDTornado0HoverANDRuinsNoTrigger)OR(BreakThingsANDSingleSpringAND(ComboHeightORFlyAnyORJumpORThundershoot0)ANDRuinsNoTrigger)),572.7141,519.5,-16140.88,Damage + auto attack,
Dark,Seaside Hill,Path Before Big Ruin Beach,Egg Pawn Lance First Group Left,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,916.91,535,-16236.91,first group left,
Dark,Seaside Hill,Path Before Big Ruin Beach,Egg Pawn Lance First Group Right,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,916.91,535,-16146.91,first group right,
Dark,Seaside Hill,Path Before Big Ruin Beach,Egg Pawn Lance Second Group Left,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,1049.868,600,-16311.85,second group left,
Dark,Seaside Hill,Path Before Big Ruin Beach,Green Flapper Bazooka Second Group,Egg Flapper,,Bazooka,No Armor,,Jump,,,0,KillGreenFlapperBazookaJump,1091.18,575,-16261.66,second group ,
Dark,Seaside Hill,Path Before Big Ruin Beach,Egg Pawn Lance Second Group Right,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,1132.147,600,-16204.82,second group right,
Dark,Seaside Hill,Path Before Big Ruin Beach,Egg Pawn Lance Third Group Left,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,1118.053,600,-16429.21,third group left,
Dark,Seaside Hill,Path Before Big Ruin Beach,Green Flapper Bazooka Third Group,Egg Flapper,,Bazooka,No Armor,,Jump,,,0,KillGreenFlapperBazookaJump,1201.271,592,-16499.8,third group ,
Dark,Seaside Hill,Path Before Big Ruin Beach,Egg Pawn Lance Third Group Right,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,1271.852,600,-16412.44,third group right,
Dark,Seaside Hill,Big Ruin Beach Island 1,Egg Pawn Lance,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,1210.007,-4.9,-18120.01,,
Dark,Seaside Hill,Big Ruin Beach Top Path 1,Egg Pawn Bazooka,Egg Pawn,Regular Pawn,Bazooka,,No Shield,Ground,,,0,KillEggPawnBazooka,726.8429,670,-18443.09,,
Dark,Seaside Hill,Big Ruin Beach Top Path 2,Egg Pawn Lance First Group Left,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,666.8429,670,-18743.09,first group left,
Dark,Seaside Hill,Big Ruin Beach Top Path 2,Egg Pawn Lance First Group Right,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,726.8429,670,-18743.09,first group right,
Dark,Seaside Hill,Big Ruin Beach Top Path 2,Egg Pawn Lance Second Group,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,746.8165,720,-19081.61,second group,
Dark,Seaside Hill,Big Ruin Beach Top Path 2,Red Flapper Third Group,Egg Flapper,,No Weapon,No Armor,,HalfJump,,,0,KillRedFlapperHalfJump,973.2862,700,-19149.04,third group ,
Dark,Seaside Hill,Big Ruin Beach Top Path 2,Egg Pawn Lance Fourth Group,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,1237.105,670,-19174.21,fourth group,
Dark,Seaside Hill,Big Ruin Beach Top Path 2,Egg Pawn Lance Fifth Group Left,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,1295.168,670,-19498.48,fifth group left,
Dark,Seaside Hill,Big Ruin Beach Top Path 2,Egg Pawn Lance Fifth Group Center,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,1315.168,670,-19448.48,fifth group center,
Dark,Seaside Hill,Big Ruin Beach Top Path 2,Egg Pawn Lance Fifth Group Right,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,1335.168,670,-19498.48,fifth group right,
Dark,Seaside Hill,Big Ruin Beach Island 2,Egg Pawn Lance Concrete Shield First Group Left,Egg Pawn,Regular Pawn,Lance,,Concrete Shield,Ground,,,0,KillEggPawnLanceConcreteShield,1144.919,2.0131,-18927.16,first group left,
Dark,Seaside Hill,Big Ruin Beach Island 2,Egg Pawn Lance Concrete Shield First Group Right,Egg Pawn,Regular Pawn,Lance,,Concrete Shield,Ground,,,0,KillEggPawnLanceConcreteShield,1204.919,1.2619,-18927.16,first group right,
Dark,Seaside Hill,Big Ruin Beach Island 2,Egg Pawn Bazooka Second Group Left,Egg Pawn,Regular Pawn,Bazooka,,No Shield,Ground,,,0,KillEggPawnBazooka,1539.577,5,-19612.19,second group left,
Dark,Seaside Hill,Big Ruin Beach Island 2,Egg Pawn Second Group Center,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Jump,,,0,KillEggPawnNothingJumpOR(KillEggPawnNothingAND(JumpOR(FlyAnyANDThundershoot0))),1599.577,33,-19682.19,second group center,on stone platform (Jump(and kill) OR Thundershoot2)
Dark,Seaside Hill,Big Ruin Beach Island 2,Egg Pawn Bazooka Second Group Right,Egg Pawn,Regular Pawn,Bazooka,,No Shield,Ground,,,0,KillEggPawnBazooka,1659.577,1.5491,-19612.19,second group right,
Dark,Seaside Hill,Big Ruin Beach End Path,Green Flapper Bazooka Left,Egg Flapper,,Bazooka,No Armor,,TallCharJump,,,0,KillGreenFlapperBazookaTallCharJumpOR(JumpANDHoming0ANDRedFlapperANDKillGreenFlapperBazookaJumpHomingOnly),981.0848,480,-20029.57,left,can reach with jump and tall char or homing off of red flapper
Dark,Seaside Hill,Big Ruin Beach End Path,Red Flapper Center,Egg Flapper,,No Weapon,No Armor,,HalfJump,,,0,KillRedFlapperHalfJump,1022.773,450,-20042.44,center ,
Dark,Seaside Hill,Big Ruin Beach End Path,Green Flapper Bazooka Right,Egg Flapper,,Bazooka,No Armor,,TallCharJump,,,0,KillGreenFlapperBazookaTallCharJumpOR(JumpANDHoming0ANDRedFlapperANDKillGreenFlapperBazookaJumpHomingOnly),993.4366,480,-20076.54,right,can reach with jump and tall char or homing off of red flapper
Dark,Seaside Hill,Big Special Ruin Before Volcano,Red Flapper Left,Egg Flapper,,No Weapon,No Armor,,Jump,,,0,KillRedFlapperJump,849.9999,135.99,-23017.75,left,
Dark,Seaside Hill,Big Special Ruin Before Volcano,Green Flapper Bazooka Center,Egg Flapper,,Bazooka,No Armor,,Jump,,,0,KillGreenFlapperBazookaJump,899.9999,145.99,-23087.75,center ,
Dark,Seaside Hill,Big Special Ruin Before Volcano,Red Flapper Right,Egg Flapper,,No Weapon,No Armor,,Jump,,,0,KillRedFlapperJump,949.9999,135.99,-23017.75,right,
Dark,Seaside Hill,Ruin After Big Special Ruin Before Volcano,Red Flapper Left,Egg Flapper,,No Weapon,No Armor,,Jump,,,0,KillRedFlapperJump,859.9997,245,-23480,left,
Dark,Seaside Hill,Ruin After Big Special Ruin Before Volcano,Green Flapper Bazooka Center,Egg Flapper,,Bazooka,No Armor,,Jump,,,0,KillGreenFlapperBazookaJump,899.9997,255,-23510,center ,just at top of jump (might need to review)
Dark,Seaside Hill,Ruin After Big Special Ruin Before Volcano,Red Flapper Right,Egg Flapper,,No Weapon,No Armor,,Jump,,,0,KillRedFlapperJump,934.9997,245,-23480,right,
Dark,Seaside Hill,Path After Big Special Ruin Before Volcano Start,Red Flapper Left,Egg Flapper,,No Weapon,No Armor,,Jump,,,0,KillRedFlapperJump,875.7404,338,-23898.04,left,can be hit from side ledge with power auto attack
Dark,Seaside Hill,Path After Big Special Ruin Before Volcano Start,Red Flapper Right,Egg Flapper,,No Weapon,No Armor,,Jump,,,0,KillRedFlapperJump,925.7404,338,-23898.04,right,can be hit from side ledge with power auto attack
Dark,Seaside Hill,Path After Big Special Ruin Before Volcano Loop,Egg Pawn Lance Left,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,871.7404,300,-24128.04,left,
Dark,Seaside Hill,Path After Big Special Ruin Before Volcano Loop,Egg Pawn Lance Center,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,901.7404,300,-24168.04,center ,
Dark,Seaside Hill,Path After Big Special Ruin Before Volcano Loop,Egg Pawn Lance Right,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,931.7404,300,-24128.04,right,
Dark,Seaside Hill,Cave Before Volcano Entrance,Egg Pawn Lance Left,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,880.007,200,-28345.57,left,
Dark,Seaside Hill,Cave Before Volcano Entrance,Egg Pawn Lance Right,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,920.007,200,-28345.57,right,
Dark,Seaside Hill,Cave Before Volcano After First Block,Egg Pawn Lance Left,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,880.007,200,-28945.57,left,
Dark,Seaside Hill,Cave Before Volcano After First Block,Egg Pawn Lance Right,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,920.007,200,-28945.57,right,
Dark,Seaside Hill,Cave Before Volcano After Second Block,Egg Pawn Lance,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,900.007,200,-29385.57,,
Dark,Seaside Hill,Volcano Cannon Room,Egg Pawn Lance Front Left,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,839.5432,-299.9,-30711.98,front left,
Dark,Seaside Hill,Volcano Cannon Room,Egg Pawn Lance Front Center,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,899.9273,-299.9,-30682.09,front center ,
Dark,Seaside Hill,Volcano Cannon Room,Egg Pawn Lance Front Right,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,959.5065,-299.9,-30709.01,front right,
Dark,Seaside Hill,Volcano Cannon Room,Egg Pawn Lance Back Left,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,586.0004,-250,-30800,back left,
Dark,Seaside Hill,Volcano Cannon Room,Egg Pawn Lance Back Center,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,900.0004,-250,-31110,back center,
Dark,Seaside Hill,Volcano Cannon Room,Egg Pawn Lance Back Right,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,1216,-250,-30800,back right,
Dark,Seaside Hill,Second Bobsled,Egg Pawn First Group Left,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingBobsled,843.2516,924.99,-37366.77,first group left,
Dark,Seaside Hill,Second Bobsled,Egg Pawn First Group Center,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingBobsled,881.4348,932.99,-37313.05,first group center,
Dark,Seaside Hill,Second Bobsled,Egg Pawn First Group Right,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingBobsled,878.1386,928.99,-37434.5,first group right,
Dark,Seaside Hill,Second Bobsled,Egg Pawn Second Group,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingBobsled,429.6094,601.1299,-38594.59,second group,
Dark,Seaside Hill,Second Bobsled,Egg Pawn Third Group Left,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingBobsled,1068.531,542.1299,-38622.16,third group left,
Dark,Seaside Hill,Second Bobsled,Egg Pawn Second Group Right,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingORKillEggPawnNothingBobsled,1128.531,536.1299,-38602.16,third group right,
Dark,Seaside Hill,Path Before Big Loop,Egg Pawn,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-1719.5,350,-41906.11,,
Dark,Seaside Hill,Big Loop,Egg Pawn First Group Left,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-1740.95,600,-42555.11,first group left,
Dark,Seaside Hill,Big Loop,Egg Pawn First Group Right,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-1698.631,600,-42552.43,first group right,
Dark,Seaside Hill,Big Loop,Egg Pawn Second Group Left,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-1737.727,600,-42686.12,second group left,
Dark,Seaside Hill,Big Loop,Egg Pawn Second Group Right,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-1704.198,600,-42685.07,second group right,
Dark,Seaside Hill,Big Loop,Egg Pawn Third Group,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-1719.835,600,-42870.92,third group,
Dark,Seaside Hill,Whale Island Top,Egg Pawn Lance,Egg Pawn,Regular Pawn,Lance,,No Shield,Ground,,,0,KillEggPawnLance,2187.556,1050,-43160.73,,
Dark,Seaside Hill,Whale Island Top,Red Flapper Left,Egg Flapper,,No Weapon,No Armor,,Jump,,,0,KillRedFlapperJumpOR(KillRedFlapperHalfJumpANDRuinsNoTrigger),1977.396,1032.99,-42987.16,left,half jump with ruins
Dark,Seaside Hill,Whale Island Top,Green Flapper Bazooka Center Left,Egg Flapper,,Bazooka,No Armor,,HalfJump,,,0,KillGreenFlapperBazookaHalfJump,1933.149,1032.99,-42977.47,center left,
Dark,Seaside Hill,Whale Island Top,Red Flapper Center,Egg Flapper,,No Weapon,No Armor,,HalfJump,,,0,KillRedFlapperHalfJump,1901.695,1032.99,-43003.15,center ,
Dark,Seaside Hill,Whale Island Top,Green Flapper Bazooka Center Right,Egg Flapper,,Bazooka,No Armor,,HalfJump,,,0,KillGreenFlapperBazookaHalfJump,1895.821,1032.99,-43041.02,center right,
Dark,Seaside Hill,Whale Island Top,Red Flapper Right,Egg Flapper,,No Weapon,No Armor,,Jump,,,0,KillRedFlapperJumpOR(KillRedFlapperHalfJumpANDRuinsNoTrigger),1923.55,1032.99,-43076.94,right,half jump with ruins
