Team,Level,Source,Target,Rule,Notes
Sonic,Seaside Hill,4 Egg Pawns,Checkpoint 2,BreakThingsOR((EggPawnNoWeaponOREggPawnBazooka)ANDHeightJumpANDHoming0)ORHeightFlyOR((KillEggPawnNoWeaponANDKillEggPawnBazooka)ANDHeightJumpANDTornadoHover)OR(HeightFlyNoJumpSoloJumpANDParkour)OR(HeightJumpANDThundershoot)SonicSH,
Sonic,Seaside Hill,Checkpoint 2,4 Egg Pawns,BreakThingsORHeightFlyOR(HeightJumpAND(ParkourORSpeedChar))SonicSH,
Sonic,Seaside Hill,Checkpoint 2,First Island,DashRampSonicSH,
Sonic,Seaside Hill,First Island,Checkpoint 2,NOTPOSSIBLE,
Sonic,Seaside Hill,First Island,First Island Cannon,CannonObjAND((HeightComboFlyJumpThundershootANDSmallStonePlatform)ORHeightJump)SonicSH,
Sonic,Seaside Hill,First Island,First Island Right Ruin,FlyingFullANDRuinsNoTriggerSonicSH,
Sonic,Seaside Hill,First Island Right Ruin,First Island,RuinsNoTriggerSonicSH,
Sonic,Seaside Hill,First Island Cannon,First Island Cannon Speed,CannonSpeedSonicSH,
Sonic,Seaside Hill,First Island Cannon,First Island Cannon Power,CannonPowerSonicSH,
Sonic,Seaside Hill,First Island Cannon,First Island Cannon Flying,CannonFlyingSonicSH,
Sonic,Seaside Hill,First Island Cannon Speed,Ruins Between First and Second Island,RuinsTriggerSonicSH,
Sonic,Seaside Hill,First Island Cannon Power,First Island Right Ruin,TripleSpringSonicSH,
Sonic,Seaside Hill,First Island Cannon Power,Ruins Between First and Second Island,RuinsTriggerSonicSH,
Sonic,Seaside Hill,First Island Cannon Flying,First Island Top Pillar Left,,
Sonic,Seaside Hill,First Island Top Pillar Left,Ruins Between First and Second Island,RuinsTriggerSonicSH,
Sonic,Seaside Hill,First Island Top Pillar Left,First Island,,
Sonic,Seaside Hill,First Island Top Pillar Left,Second Island,FlyingAnySonicSH,
Sonic,Seaside Hill,First Island Top Pillar Left,First Island Top Pillar Right,(DashRingAND(HeightFlyNoJumpSoloJump))ORHeightFlySonicSH,
Sonic,Seaside Hill,First Island Top Pillar Right,First Island Top Pillar Left,HeightFlySonicSH,
Sonic,Seaside Hill,First Island Top Pillar Right,Second Island High Item Balloon,DashRampANDDashRingANDHeightFlyNoJumpSoloSonicSH,
Sonic,Seaside Hill,Ruins Between First and Second Island,Second Island,,
Sonic,Seaside Hill,Second Island,Ruins Between First and Second Island,FlyingAnyANDRuinsTriggerSonicSH,
Sonic,Seaside Hill,Second Island High Item Balloon,Second Island,,
Sonic,Seaside Hill,Second Island,Second Island High Item Balloon,NOTPOSSIBLE,
Sonic,Seaside Hill,Second Island,Ruins After Second Island,HeightFlyJumpANDRuinsTriggerSonicSH,
Sonic,Seaside Hill,Ruins After Second Island,Second Island,HeightFlyJumpANDRuinsTriggerSonicSH,
Sonic,Seaside Hill,Ruins After Second Island,Before First Bobsled,HeightFlyANDRuinsTriggerSonicSH,
Sonic,Seaside Hill,Before First Bobsled,Ruins After Second Island,HeightFlyJumpANDRuinsTriggerSonicSH,
Sonic,Seaside Hill,Before First Bobsled,Second Island,FlyingFullSonicSH,
Sonic,Seaside Hill,Before First Bobsled,First Bobsled,DashPanelOR(DashRingANDHeightFly)ORSpeedCharSonicSH,
Sonic,Seaside Hill,First Bobsled,Before First Bobsled,,
Sonic,Seaside Hill,First Bobsled,First Bobsled Upper Cliff,NOTPOSSIBLE,
Sonic,Seaside Hill,First Bobsled Upper Cliff,First Bobsled,,
Sonic,Seaside Hill,First Bobsled,First Bobsled Big Island,,
Sonic,Seaside Hill,First Bobsled Big Island,First Bobsled,,Up Incline
Sonic,Seaside Hill,First Bobsled Big Island,First Bobsled Small Island,FlyingAnySonicSH,
Sonic,Seaside Hill,First Bobsled Small Island,First Bobsled Big Island,FlyingAnySonicSH,
Sonic,Seaside Hill,First Bobsled Big Island,First Bobsled Second Big Island,,
Sonic,Seaside Hill,First Bobsled Second Big Island,First Bobsled Big Island,,
Sonic,Seaside Hill,First Bobsled Second Big Island,First Bobsled Second Big Island Outside Bobsled Path,HeightComboFlyJumpThundershootSonicSH,
Sonic,Seaside Hill,First Bobsled Second Big Island Outside Bobsled Path,First Bobsled Second Big Island,HeightFlyJumpOR(HeightThundershootANDParkour)SonicSH,
Sonic,Seaside Hill,First Bobsled Second Big Island,Ruins After First Bobsled,(BobsledAnyORHeightFlyJump)ANDRuinsNoTriggerSonicSH,
Sonic,Seaside Hill,Ruins After First Bobsled,First Bobsled Second Big Island,RuinsNoTriggerANDHeightFlyJumpSonicSH,
Sonic,Seaside Hill,Ruins After First Bobsled,Checkpoint 3,DashRampANDRuinsNoTriggerAND((HeightComboFlyJumpThundershootANDRuinsNoTrigger)ORHeightFlyJump)SonicSH,rainbow hoops not required
Sonic,Seaside Hill,Checkpoint 3,Ruins After First Bobsled,NOTPOSSIBLE,
Sonic,Seaside Hill,Checkpoint 3,Lower Cliff With Hermit Crab After Checkpoint 3,((BreakThingsORHeightFlyOR(HeightJumpANDHoming0))ANDSingleSpring)ORFlyingAnyOR(TripleSpringANDParkour)SonicSH,kick is possible (with spring)
Sonic,Seaside Hill,Lower Cliff With Hermit Crab After Checkpoint 3,Checkpoint 3,FlyingAnySonicSH,
Sonic,Seaside Hill,Checkpoint 3,Upper Route After Checkpoint 3,FlyingFullORTripleSpringSonicSH,can be made with homing0 (collision)
Sonic,Seaside Hill,Upper Route After Checkpoint 3,Checkpoint 3,,
Sonic,Seaside Hill,Upper Route After Checkpoint 3,Lower Cliff With Hermit Crab After Checkpoint 3,HeightComboFlyJumpThundershootSonicSH,
Sonic,Seaside Hill,Lower Cliff With Hermit Crab After Checkpoint 3,Upper Route After Checkpoint 3,HeightFlyNoJumpSoloOR(BreakThingsANDSingleSpring)SonicSH,
Sonic,Seaside Hill,Upper Route After Checkpoint 3,Path Before Big Ruin Beach,DashRingANDFlyingAnyANDSingleSpringSonicSH,can be made with dumb collision stuff
Sonic,Seaside Hill,Path Before Big Ruin Beach,Upper Route After Checkpoint 3,,
Sonic,Seaside Hill,Lower Cliff With Hermit Crab After Checkpoint 3,Path Before Big Ruin Beach,BreakThingsAND(DashRingORHeightFlyNoJumpSolo)ANDSingleSpringSonicSH,
Sonic,Seaside Hill,Path Before Big Ruin Beach,Lower Cliff With Hermit Crab After Checkpoint 3,,
Sonic,Seaside Hill,Path Before Big Ruin Beach,Big Ruin Beach Lower Cliffs At Start,,
Sonic,Seaside Hill,Big Ruin Beach Lower Cliffs At Start,Path Before Big Ruin Beach,NOTPOSSIBLE,
Sonic,Seaside Hill,Path Before Big Ruin Beach,Big Ruin Beach Upper Route 1,DashRingANDHeightFlyNoJumpSoloSonicSH,is possible with single spring dash ring
Sonic,Seaside Hill,Big Ruin Beach Upper Route 1,Path Before Big Ruin Beach,FlyingAnySonicSH,
Sonic,Seaside Hill,Big Ruin Beach Upper Route 1,Big Ruin Beach Upper Route 2,(DashRingANDHeightComboFlyJumpThundershootANDHeightFlyNoJumpSolo)ORHeightFlyOR(HeightJumpANDParkourANDTornadoHover)SonicSH,
Sonic,Seaside Hill,Big Ruin Beach Upper Route 2,Big Ruin Beach Upper Route 1,,
Sonic,Seaside Hill,Big Ruin Beach Upper Route 1,Big Ruin Beach Middle Route,,
Sonic,Seaside Hill,Big Ruin Beach Middle Route,Big Ruin Beach Upper Route 1,,
Sonic,Seaside Hill,Big Ruin Beach Upper Route 2,Big Ruin Beach Upper Route 3,BreakThingsORHeightFlyOR(HeightJumpAND(ThundershootORTornadoHover))SonicSH,
Sonic,Seaside Hill,Big Ruin Beach Upper Route 3,Big Ruin Beach Upper Route 2,BreakThingsORHeightFlyOR(HeightJumpAND(ThundershootORTornadoHover))SonicSH,
Sonic,Seaside Hill,Big Ruin Beach Middle Route,Big Ruin Beach Island 2,HeightComboFlyJumpThundershootSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 2,Big Ruin Beach Middle Route,(HeightComboThundershootANDParkour)ORHeightFlyJumpSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Lower Cliffs At Start,Big Ruin Beach Island 1,,
Sonic,Seaside Hill,Big Ruin Beach Island 1,Big Ruin Beach Lower Cliffs At Start,NOTPOSSIBLE,
Sonic,Seaside Hill,Big Ruin Beach Island 1,Big Ruin Beach Island 1 Cannon,CannonObjAND((HeightComboFlyJumpThundershootANDSmallStonePlatform)ORHeightJump)SonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 1 Cannon,Big Ruin Beach Island 1 Cannon Speed,CannonSpeedSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 1 Cannon Speed,Big Ruin Beach Island 2,SingleSpringSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 1 Cannon,Big Ruin Beach Island 1 Cannon Flying,CannonFlyingSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 1 Cannon Flying,Big Ruin Beach Upper Route 2,,
Sonic,Seaside Hill,Big Ruin Beach Island 1 Cannon,Big Ruin Beach Island 1 Cannon Power,CannonPowerSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 1 Cannon Power,Big Ruin Beach Island 1,,
Sonic,Seaside Hill,Big Ruin Beach Island 1 Cannon Power,Big Ruin Beach Island 2,,
Sonic,Seaside Hill,Big Ruin Beach Island 2,Big Ruin Beach Island 1,FlyingAnySonicSH,
Sonic,Seaside Hill,Big Ruin Beach Middle Route,Bonus Key 2,HeightComboFlyJumpThundershootANDRuinsNoTriggerSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 2,Bonus Key 2,FlyingAnyANDRuinsNoTriggerSonicSH,
Sonic,Seaside Hill,Bonus Key 2,Big Ruin Beach Island 2,,
Sonic,Seaside Hill,Big Ruin Beach Island 2,Big Ruin Beach Island 2 Ruins With Springs,FlyingAnyANDRuinsNoTriggerSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 2 Ruins With Springs,Big Ruin Beach Island 2,FlyingAnyANDRuinsNoTriggerSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Middle Route,Big Ruin Beach Island 2 Cannon,CannonObjSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 2 Cannon,Big Ruin Beach Island 2 Cannon Speed,CannonSpeedSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 2 Cannon Speed,Path Before Checkpoint 4,SingleSpringSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 2 Cannon,Big Ruin Beach Island 2 Cannon Flying,CannonFlyingSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 2 Cannon Flying,Path Before Checkpoint 4,,
Sonic,Seaside Hill,Big Ruin Beach Island 2 Cannon,Big Ruin Beach Island 2 Cannon Power,CannonPowerSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 2 Cannon Power,Big Ruin Beach Island 2 Cannon Power Ruins,GlideANDRuinsNoTriggerANDTripleSpringSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Island 2 Cannon Power Ruins,Path Before Checkpoint 4,DashRampANDGlideANDRuinsNoTriggerANDTripleSpringSonicSH,
Sonic,Seaside Hill,Big Ruin Beach Upper Route 3,Path Before Checkpoint 4,(DashRingAND(DashPanelORHeightJump))ORHeightFlyNoJumpSoloOR(HeightJumpANDGlide)SonicSH,
Sonic,Seaside Hill,Path Before Checkpoint 4,Checkpoint 4,DashPanelORSpeedCharSonicSH,can be made with flyingfull (collision)
Sonic,Seaside Hill,Checkpoint 4,Path Before Checkpoint 4,,
Sonic,Seaside Hill,Checkpoint 4,Big Ruins 1,DashRampANDRuinsTriggerSonicSH,invisible collision object
Sonic,Seaside Hill,Big Ruins 1,Checkpoint 4,NOTPOSSIBLE,Is Possible with FlyingFull (difficult)
Sonic,Seaside Hill,Big Ruins 1,Big Ruins 2,(EggFlapperRedANDHeightJumpANDHoming0ANDHomingHover)ORFlyingAnyOR(HeightJumpANDTornadoHover)SonicSH,Homing Attack also possible (green (shot) only is hard) can be done flying solo without jump
Sonic,Seaside Hill,Big Ruins 2,Big Ruins 1,RuinsTriggerSonicSH,
Sonic,Seaside Hill,Big Ruins 2,Path After Big Ruins,((EggFlapperGreenShotOREggFlapperRed)ANDHeightJumpANDHoming0ANDHomingHover)ORFlyingAnyOR(HeightJumpANDTornadoHover)ORTripleSpringSonicSH,is possible with flying solo without jump
Sonic,Seaside Hill,Path After Big Ruins,Big Ruins 2,RuinsTriggerSonicSH,
Sonic,Seaside Hill,Path After Big Ruins,Cannon Room,BreakThingsORFlyingAnyOR(HeightJumpANDThundershoot)SonicSH,
Sonic,Seaside Hill,Cannon Room,Path After Big Ruins,BreakThingsORFlyingAnyOR(HeightJumpANDThundershoot)SonicSH,
Sonic,Seaside Hill,Cannon Room,Bonus Key 3,BreakThingsSonicSH,
Sonic,Seaside Hill,Cannon Room,Cannon Room Cannon,CannonObjAND((HeightComboFlyJumpThundershootANDSmallStonePlatform)ORHeightJump)SonicSH,
Sonic,Seaside Hill,Cannon Room Cannon,Cannon Room Cannon Speed,CannonSpeedSonicSH,
Sonic,Seaside Hill,Cannon Room Cannon Speed,After Cannon Room Path,SingleSpringSonicSH,
Sonic,Seaside Hill,Cannon Room Cannon,Cannon Room Cannon Power,CannonPowerSonicSH,
Sonic,Seaside Hill,Cannon Room Cannon Power,Cannon Room,,
Sonic,Seaside Hill,Cannon Room Cannon Power,Bonus Key 3,,
Sonic,Seaside Hill,Cannon Room Cannon,Cannon Room Cannon Flying,CannonFlyingSonicSH,
Sonic,Seaside Hill,Cannon Room Cannon Flying,After Cannon Room Path,,
Sonic,Seaside Hill,After Cannon Room Path,Cannon Room,NOTPOSSIBLE,
Sonic,Seaside Hill,After Cannon Room Path,Checkpoint 5,DashRampSonicSH,
Sonic,Seaside Hill,Checkpoint 5,After Cannon Room Path,NOTPOSSIBLE,
Sonic,Seaside Hill,Checkpoint 5,Second Bobsled,BobsledAnySonicSH,
Sonic,Seaside Hill,Second Bobsled,Checkpoint 5,NOTPOSSIBLE,
Sonic,Seaside Hill,Second Bobsled,Path After Second Bobsled,,
Sonic,Seaside Hill,Path After Second Bobsled,Second Bobsled,NOTPOSSIBLE,
Sonic,Seaside Hill,Path After Second Bobsled,Big Loop,DashPanelORSpeedCharSonicSH,
Sonic,Seaside Hill,Big Loop,Path After Second Bobsled,,
Sonic,Seaside Hill,Big Loop,Top of Whale Island,,
Sonic,Seaside Hill,Top of Whale Island,Big Loop,,
Sonic,Seaside Hill,Top of Whale Island,Goal,HeightComboFlyJumpThundershootSonicSH,
